´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600439.SH,Èð±´¿¨,20040428,1.0434,
600439.SH,Èð±´¿¨,20040429,1.0355,
600439.SH,Èð±´¿¨,20040430,1.046,
600439.SH,Èð±´¿¨,20040510,1.0166,
600439.SH,Èð±´¿¨,20040511,1.0264,
600439.SH,Èð±´¿¨,20040512,1.0395,
600439.SH,Èð±´¿¨,20040513,1.0283,
600439.SH,Èð±´¿¨,20040514,1.0185,
600439.SH,Èð±´¿¨,20040517,1.0172,
600439.SH,Èð±´¿¨,20040518,1.0395,
600439.SH,Èð±´¿¨,20040519,1.0525,
600439.SH,Èð±´¿¨,20040520,1.0375,
600439.SH,Èð±´¿¨,20040521,1.0242,
600439.SH,Èð±´¿¨,20040524,0.9962,
600439.SH,Èð±´¿¨,20040525,0.9608,
600439.SH,Èð±´¿¨,20040526,0.9689,
600439.SH,Èð±´¿¨,20040527,1.0028,
600439.SH,Èð±´¿¨,20040528,0.9991,
600439.SH,Èð±´¿¨,20040531,1.0109,
600439.SH,Èð±´¿¨,20040601,1.0751,
600439.SH,Èð±´¿¨,20040602,1.0633,
600439.SH,Èð±´¿¨,20040603,1.0257,
600439.SH,Èð±´¿¨,20040604,1.0301,
600439.SH,Èð±´¿¨,20040607,1.0168,
600439.SH,Èð±´¿¨,20040608,1.008,
600439.SH,Èð±´¿¨,20040609,0.9858,
600439.SH,Èð±´¿¨,20040610,0.9947,
600439.SH,Èð±´¿¨,20040611,0.9881,
600439.SH,Èð±´¿¨,20040614,0.9689,
600439.SH,Èð±´¿¨,20040615,0.9829,
600439.SH,Èð±´¿¨,20040616,0.9851,
600439.SH,Èð±´¿¨,20040617,0.9689,
600439.SH,Èð±´¿¨,20040618,0.9762,
600439.SH,Èð±´¿¨,20040621,1.0109,
600439.SH,Èð±´¿¨,20040622,1.0183,
600439.SH,Èð±´¿¨,20040623,1.0036,
600439.SH,Èð±´¿¨,20040624,1.0154,
