╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
603896.SH,йыои╧х,20180305,46.69,
603896.SH,йыои╧х,20180306,48.24,
603896.SH,йыои╧х,20180307,47.51,
603896.SH,йыои╧х,20180308,49,
603896.SH,йыои╧х,20180309,50.15,
603896.SH,йыои╧х,20180312,50.05,
603896.SH,йыои╧х,20180313,48.12,
603896.SH,йыои╧х,20180314,47.38,
603896.SH,йыои╧х,20180315,46.38,
603896.SH,йыои╧х,20180316,46.32,
603896.SH,йыои╧х,20180319,48.49,
603896.SH,йыои╧х,20180320,50.08,
603896.SH,йыои╧х,20180321,48.18,
603896.SH,йыои╧х,20180322,47.17,
603896.SH,йыои╧х,20180323,42.87,
603896.SH,йыои╧х,20180326,43.73,
