測鎢,潠備,�梪�,彶攫歎(啋),
603566.SH,ぱ應螞,20160225,19.422,
603566.SH,ぱ應螞,20160226,19.5599,
603566.SH,ぱ應螞,20160229,18.5651,
603566.SH,ぱ應螞,20160301,18.9345,
603566.SH,ぱ應螞,20160302,19.7716,
603566.SH,ぱ應螞,20160303,19.6042,
603566.SH,ぱ應螞,20160304,18.6636,
603566.SH,ぱ應螞,20160307,19.1758,
603566.SH,ぱ應螞,20160308,19.3531,
603566.SH,ぱ應螞,20160309,18.767,
603566.SH,ぱ應螞,20160310,18.5307,
603566.SH,ぱ應螞,20160311,18.8064,
603566.SH,ぱ應螞,20160314,19.5697,
603566.SH,ぱ應螞,20160315,19.2201,
603566.SH,ぱ應螞,20160316,18.9788,
603566.SH,ぱ應螞,20160317,19.683,
603566.SH,ぱ應螞,20160318,20.6974,
603566.SH,ぱ應螞,20160321,21.2046,
603566.SH,ぱ應螞,20160322,21.0815,
603566.SH,ぱ應螞,20160323,22.5589,
603566.SH,ぱ應螞,20160324,21.5346,
603566.SH,ぱ應螞,20160325,22.3422,
603566.SH,ぱ應螞,20160328,22.3668,
603566.SH,ぱ應螞,20160329,21.6675,
603566.SH,ぱ應螞,20160330,22.7165,
603566.SH,ぱ應螞,20160331,23.5979,
603566.SH,ぱ應螞,20160401,23.8491,
603566.SH,ぱ應螞,20160405,24.1938,
603566.SH,ぱ應螞,20160406,25.745,
603566.SH,ぱ應螞,20160407,27.7049,
603566.SH,ぱ應螞,20160408,27.1091,
603566.SH,ぱ應螞,20160411,26.0355,
603566.SH,ぱ應螞,20160412,26.853,
603566.SH,ぱ應螞,20160413,26.459,
603566.SH,ぱ應螞,20160414,26.3261,
603566.SH,ぱ應螞,20160415,25.0999,
603566.SH,ぱ應螞,20160418,24.8783,
603566.SH,ぱ應螞,20160419,25.0703,
603566.SH,ぱ應螞,20160420,23.465,
603566.SH,ぱ應螞,20160421,22.9036,
603566.SH,ぱ應螞,20160422,23.3369,
603566.SH,ぱ應螞,20160425,23.1104,
603566.SH,ぱ應螞,20160426,23.4256,
603566.SH,ぱ應螞,20160427,23.4699,
603566.SH,ぱ應螞,20160428,23.2828,
603566.SH,ぱ應螞,20160429,23.2335,
603566.SH,ぱ應螞,20160503,24.1544,
603566.SH,ぱ應螞,20160504,23.9426,
603566.SH,ぱ應螞,20160505,24.3858,
603566.SH,ぱ應螞,20160506,23.529,
603566.SH,ぱ應螞,20160509,22.0713,
603566.SH,ぱ應螞,20160510,22.16,
603566.SH,ぱ應螞,20160511,22.5244,
603566.SH,ぱ應螞,20160512,21.9088,
603566.SH,ぱ應螞,20160513,21.6331,
603566.SH,ぱ應螞,20160516,21.9532,
603566.SH,ぱ應螞,20160517,22.1157,
603566.SH,ぱ應螞,20160518,21.0471,
603566.SH,ぱ應螞,20160519,21.0717,
603566.SH,ぱ應螞,20160520,21.3573,
603566.SH,ぱ應螞,20160523,21.702,
603566.SH,ぱ應螞,20160524,21.3721,
603566.SH,ぱ應螞,20160525,21.771,
603566.SH,ぱ應螞,20160526,21.6478,
603566.SH,ぱ應螞,20160527,21.9088,
603566.SH,ぱ應螞,20160530,21.7463,
603566.SH,ぱ應螞,20160531,22.9958,
603566.SH,ぱ應螞,20160601,23.5313,
603566.SH,ぱ應螞,20160602,23.3726,
603566.SH,ぱ應螞,20160603,23.1346,
603566.SH,ぱ應螞,20160606,23.1346,
603566.SH,ぱ應螞,20160607,23.4916,
603566.SH,ぱ應螞,20160608,22.966,
603566.SH,ぱ應螞,20160613,20.8539,
603566.SH,ぱ應螞,20160614,20.6456,
603566.SH,ぱ應螞,20160615,21.2505,
603566.SH,ぱ應螞,20160616,20.953,
603566.SH,ぱ應螞,20160617,20.8737,
603566.SH,ぱ應螞,20160620,21.0919,
603566.SH,ぱ應螞,20160621,20.7646,
603566.SH,ぱ應螞,20160622,21.0621,
603566.SH,ぱ應螞,20160623,21.0324,
603566.SH,ぱ應螞,20160624,20.6159,
603566.SH,ぱ應螞,20160627,21.1018,
603566.SH,ぱ應螞,20160628,21.5976,
603566.SH,ぱ應螞,20160629,21.6868,
603566.SH,ぱ應螞,20160630,21.8058,
603566.SH,ぱ應螞,20160701,21.6769,
603566.SH,ぱ應螞,20160704,22.3413,
603566.SH,ぱ應螞,20160705,22.2421,
603566.SH,ぱ應螞,20160706,23.0156,
603566.SH,ぱ應螞,20160707,23.8089,
603566.SH,ぱ應螞,20160708,23.7593,
603566.SH,ぱ應螞,20160711,23.442,
603566.SH,ぱ應螞,20160712,24.3345,
