덜쯤,숌냔,휑퍅,澗턍송(禱),
002490.SZ,*ST카질,20130208,11.5931,
002490.SZ,*ST카질,20130218,12.0604,
002490.SZ,*ST카질,20130219,11.6926,
002490.SZ,*ST카질,20130220,12.0107,
002490.SZ,*ST카질,20130221,11.5335,
002490.SZ,*ST카질,20130222,11.3147,
002490.SZ,*ST카질,20130225,11.4539,
002490.SZ,*ST카질,20130226,11.096,
002490.SZ,*ST카질,20130227,11.0861,
002490.SZ,*ST카질,20130228,11.3147,
002490.SZ,*ST카질,20130301,11.5434,
002490.SZ,*ST카질,20130304,11.0364,
002490.SZ,*ST카질,20130305,11.3346,
002490.SZ,*ST카질,20130306,11.4341,
002490.SZ,*ST카질,20130307,11.4341,
002490.SZ,*ST카질,20130308,12.1201,
002490.SZ,*ST카질,20130311,12.1201,
002490.SZ,*ST카질,20130312,12.4681,
002490.SZ,*ST카질,20130313,11.971,
002490.SZ,*ST카질,20130314,11.8318,
002490.SZ,*ST카질,20130315,11.7025,
002490.SZ,*ST카질,20130318,11.7423,
002490.SZ,*ST카질,20130319,11.8616,
002490.SZ,*ST카질,20130320,12.1499,
002490.SZ,*ST카질,20130321,12.6073,
002490.SZ,*ST카질,20130322,12.3786,
002490.SZ,*ST카질,20130325,12.14,
002490.SZ,*ST카질,20130326,11.9312,
002490.SZ,*ST카질,20130327,12.2991,
002490.SZ,*ST카질,20130328,11.4937,
002490.SZ,*ST카질,20130329,11.1557,
002490.SZ,*ST카질,20130401,11.1557,
002490.SZ,*ST카질,20130402,10.8276,
002490.SZ,*ST카질,20130403,10.8773,
002490.SZ,*ST카질,20130408,10.6386,
002490.SZ,*ST카질,20130409,11.0264,
002490.SZ,*ST카질,20130410,10.9469,
002490.SZ,*ST카질,20130411,10.917,
002490.SZ,*ST카질,20130412,10.927,
002490.SZ,*ST카질,20130415,10.8276,
002490.SZ,*ST카질,20130416,10.8474,
002490.SZ,*ST카질,20130417,11.0662,
002490.SZ,*ST카질,20130418,11.1557,
