旗鷹,酒各,晩豚,辺徒勺(圷),
002517.SZ,磊哂利大,20111011,4.3479,
002517.SZ,磊哂利大,20111012,4.4833,
002517.SZ,磊哂利大,20111013,4.5744,
002517.SZ,磊哂利大,20111014,4.5005,
002517.SZ,磊哂利大,20111017,4.5251,
002517.SZ,磊哂利大,20111018,4.3725,
002517.SZ,磊哂利大,20111019,4.3872,
002517.SZ,磊哂利大,20111020,4.4069,
002517.SZ,磊哂利大,20111021,4.3626,
002517.SZ,磊哂利大,20111024,4.4537,
002517.SZ,磊哂利大,20111025,4.5719,
002517.SZ,磊哂利大,20111026,4.5423,
002517.SZ,磊哂利大,20111027,4.5227,
002517.SZ,磊哂利大,20111028,4.6359,
002517.SZ,磊哂利大,20111031,4.6605,
002517.SZ,磊哂利大,20111101,4.8255,
002517.SZ,磊哂利大,20111102,4.9535,
002517.SZ,磊哂利大,20111103,4.9166,
002517.SZ,磊哂利大,20111104,4.8353,
002517.SZ,磊哂利大,20111107,4.7048,
002517.SZ,磊哂利大,20111108,4.6753,
002517.SZ,磊哂利大,20111109,4.7787,
002517.SZ,磊哂利大,20111110,4.6433,
002517.SZ,磊哂利大,20111111,4.6531,
002517.SZ,磊哂利大,20111114,4.7713,
002517.SZ,磊哂利大,20111115,4.7885,
002517.SZ,磊哂利大,20111116,4.7024,
002517.SZ,磊哂利大,20111117,4.6088,
002517.SZ,磊哂利大,20111118,4.4168,
002517.SZ,磊哂利大,20111121,4.4513,
002517.SZ,磊哂利大,20111122,4.4463,
002517.SZ,磊哂利大,20111123,4.6334,
002517.SZ,磊哂利大,20111124,4.53,
002517.SZ,磊哂利大,20111125,4.466,
002517.SZ,磊哂利大,20111128,4.4562,
002517.SZ,磊哂利大,20111129,4.5005,
002517.SZ,磊哂利大,20111130,4.2765,
002517.SZ,磊哂利大,20111201,4.3799,
002517.SZ,磊哂利大,20111202,4.338,
002517.SZ,磊哂利大,20111205,4.1977,
002517.SZ,磊哂利大,20111206,4.0992,
002517.SZ,磊哂利大,20111207,4.0623,
002517.SZ,磊哂利大,20111208,4.045,
002517.SZ,磊哂利大,20111209,4.013,
002517.SZ,磊哂利大,20111212,4.013,
002517.SZ,磊哂利大,20111213,3.8062,
002517.SZ,磊哂利大,20111214,3.8038,
002517.SZ,磊哂利大,20111215,3.8899,
002517.SZ,磊哂利大,20111216,4.1238,
002517.SZ,磊哂利大,20111219,4.2543,
002517.SZ,磊哂利大,20111220,4.2962,
002517.SZ,磊哂利大,20111221,4.4488,
002517.SZ,磊哂利大,20111222,4.4611,
002517.SZ,磊哂利大,20111223,4.4069,
002517.SZ,磊哂利大,20111226,4.4291,
002517.SZ,磊哂利大,20111227,4.3158,
002517.SZ,磊哂利大,20111228,4.3872,
002517.SZ,磊哂利大,20111229,4.5177,
002517.SZ,磊哂利大,20111230,4.5497,
002517.SZ,磊哂利大,20120104,4.7245,
002517.SZ,磊哂利大,20120105,4.5497,
002517.SZ,磊哂利大,20120106,4.5793,
002517.SZ,磊哂利大,20120109,4.6605,
002517.SZ,磊哂利大,20120110,4.5842,
002517.SZ,磊哂利大,20120111,4.4906,
002517.SZ,磊哂利大,20120112,4.6851,
002517.SZ,磊哂利大,20120113,4.2174,
002517.SZ,磊哂利大,20120116,3.7964,
002517.SZ,磊哂利大,20120117,3.8505,
002517.SZ,磊哂利大,20120118,3.5526,
002517.SZ,磊哂利大,20120119,3.4591,
002517.SZ,磊哂利大,20120120,3.5157,
002517.SZ,磊哂利大,20120130,3.5231,
002517.SZ,磊哂利大,20120131,3.4788,
002517.SZ,磊哂利大,20120201,3.4665,
002517.SZ,磊哂利大,20120202,3.5206,
002517.SZ,磊哂利大,20120203,3.6191,
002517.SZ,磊哂利大,20120206,3.6807,
002517.SZ,磊哂利大,20120207,3.6437,
002517.SZ,磊哂利大,20120208,3.7127,
002517.SZ,磊哂利大,20120209,3.6905,
002517.SZ,磊哂利大,20120210,3.693,
002517.SZ,磊哂利大,20120213,3.7299,
002517.SZ,磊哂利大,20120214,3.7053,
002517.SZ,磊哂利大,20120215,3.7693,
002517.SZ,磊哂利大,20120216,3.7422,
002517.SZ,磊哂利大,20120217,3.7324,
002517.SZ,磊哂利大,20120220,3.72,
002517.SZ,磊哂利大,20120221,3.7447,
002517.SZ,磊哂利大,20120222,3.8752,
002517.SZ,磊哂利大,20120223,3.8899,
002517.SZ,磊哂利大,20120224,3.9293,
002517.SZ,磊哂利大,20120227,3.8924,
002517.SZ,磊哂利大,20120228,3.8013,
002517.SZ,磊哂利大,20120229,3.8013,
002517.SZ,磊哂利大,20120301,3.8161,
002517.SZ,磊哂利大,20120302,3.8801,
002517.SZ,磊哂利大,20120305,3.853,
002517.SZ,磊哂利大,20120306,3.7693,
002517.SZ,磊哂利大,20120307,3.7545,
002517.SZ,磊哂利大,20120308,3.8875,
002517.SZ,磊哂利大,20120309,3.9145,
002517.SZ,磊哂利大,20120312,4.1681,
002517.SZ,磊哂利大,20120313,4.082,
002517.SZ,磊哂利大,20120314,3.8431,
002517.SZ,磊哂利大,20120315,3.7791,
002517.SZ,磊哂利大,20120316,3.8776,
002517.SZ,磊哂利大,20120319,4.0106,
002517.SZ,磊哂利大,20120320,3.8653,
002517.SZ,磊哂利大,20120321,3.8702,
002517.SZ,磊哂利大,20120322,3.9269,
002517.SZ,磊哂利大,20120323,3.8185,
002517.SZ,磊哂利大,20120326,3.7668,
002517.SZ,磊哂利大,20120327,3.7742,
002517.SZ,磊哂利大,20120328,3.5674,
002517.SZ,磊哂利大,20120329,3.4935,
002517.SZ,磊哂利大,20120330,3.4935,
002517.SZ,磊哂利大,20120405,3.6437,
002517.SZ,磊哂利大,20120406,3.5994,
002517.SZ,磊哂利大,20120409,3.5649,
002517.SZ,磊哂利大,20120410,3.5945,
002517.SZ,磊哂利大,20120411,3.7274,
002517.SZ,磊哂利大,20120412,3.7422,
002517.SZ,磊哂利大,20120413,3.7397,
002517.SZ,磊哂利大,20120416,3.7521,
002517.SZ,磊哂利大,20120417,4.1263,
002517.SZ,磊哂利大,20120418,4.0303,
002517.SZ,磊哂利大,20120419,3.9736,
002517.SZ,磊哂利大,20120420,3.9786,
002517.SZ,磊哂利大,20120423,3.8456,
002517.SZ,磊哂利大,20120424,3.8259,
002517.SZ,磊哂利大,20120425,3.8801,
002517.SZ,磊哂利大,20120426,3.8776,
002517.SZ,磊哂利大,20120427,3.8702,
002517.SZ,磊哂利大,20120502,3.9392,
002517.SZ,磊哂利大,20120503,3.9441,
002517.SZ,磊哂利大,20120504,3.9736,
002517.SZ,磊哂利大,20120507,4.1509,
002517.SZ,磊哂利大,20120508,4.5522,
002517.SZ,磊哂利大,20120509,4.4193,
002517.SZ,磊哂利大,20120510,4.4808,
002517.SZ,磊哂利大,20120511,4.6211,
002517.SZ,磊哂利大,20120514,4.8993,
002517.SZ,磊哂利大,20120515,4.8993,
002517.SZ,磊哂利大,20120516,5.0077,
002517.SZ,磊哂利大,20120517,4.8476,
002517.SZ,磊哂利大,20120518,4.8526,
002517.SZ,磊哂利大,20120521,4.759,
002517.SZ,磊哂利大,20120522,4.5941,
002517.SZ,磊哂利大,20120523,4.6778,
002517.SZ,磊哂利大,20120524,4.8009,
002517.SZ,磊哂利大,20120525,4.8575,
002517.SZ,磊哂利大,20120528,4.8969,
002517.SZ,磊哂利大,20120529,4.9714,
002517.SZ,磊哂利大,20120530,5.0659,
002517.SZ,磊哂利大,20120531,5.1007,
002517.SZ,磊哂利大,20120601,5.1653,
002517.SZ,磊哂利大,20120604,5.2349,
002517.SZ,磊哂利大,20120605,5.4934,
002517.SZ,磊哂利大,20120606,5.3244,
002517.SZ,磊哂利大,20120607,5.5481,
002517.SZ,磊哂利大,20120608,5.4388,
002517.SZ,磊哂利大,20120611,5.6973,
002517.SZ,磊哂利大,20120612,5.5332,
002517.SZ,磊哂利大,20120613,5.563,
002517.SZ,磊哂利大,20120614,5.5581,
002517.SZ,磊哂利大,20120615,5.5879,
002517.SZ,磊哂利大,20120618,5.7221,
002517.SZ,磊哂利大,20120619,5.7271,
002517.SZ,磊哂利大,20120620,5.7818,
002517.SZ,磊哂利大,20120621,5.7868,
002517.SZ,磊哂利大,20120625,5.7868,
002517.SZ,磊哂利大,20120626,6.0055,
002517.SZ,磊哂利大,20120627,6.1099,
002517.SZ,磊哂利大,20120628,6.1795,
002517.SZ,磊哂利大,20120629,6.1994,
002517.SZ,磊哂利大,20120702,6.3684,
002517.SZ,磊哂利大,20120703,6.1199,
002517.SZ,磊哂利大,20120704,5.5084,
002517.SZ,磊哂利大,20120705,5.2946,
002517.SZ,磊哂利大,20120706,5.1504,
002517.SZ,磊哂利大,20120709,4.8422,
002517.SZ,磊哂利大,20120710,4.9317,
002517.SZ,磊哂利大,20120711,4.8372,
