旗鷹,酒各,晩豚,辺徒勺(圷),
601966.SH,早艸態魅,20170602,18.7455,
601966.SH,早艸態魅,20170605,19.9661,
601966.SH,早艸態魅,20170606,19.8669,
601966.SH,早艸態魅,20170607,20.1448,
601966.SH,早艸態魅,20170608,19.8768,
601966.SH,早艸態魅,20170609,20.0257,
601966.SH,早艸態魅,20170612,19.6486,
601966.SH,早艸態魅,20170613,19.9959,
601966.SH,早艸態魅,20170614,19.9562,
601966.SH,早艸態魅,20170615,20.2341,
601966.SH,早艸態魅,20170616,20.0356,
601966.SH,早艸態魅,20170619,20.0951,
601966.SH,早艸態魅,20170620,19.7875,
601966.SH,早艸態魅,20170621,20.3631,
601966.SH,早艸態魅,20170622,21.7226,
601966.SH,早艸態魅,20170623,22.0997,
601966.SH,早艸態魅,20170626,22.6256,
601966.SH,早艸態魅,20170627,22.06,
601966.SH,早艸態魅,20170628,21.53,
601966.SH,早艸態魅,20170629,23.08,
601966.SH,早艸態魅,20170630,22.43,
601966.SH,早艸態魅,20170703,22.45,
601966.SH,早艸態魅,20170704,22.14,
601966.SH,早艸態魅,20170705,22.28,
601966.SH,早艸態魅,20170706,21.46,
601966.SH,早艸態魅,20170707,20.86,
601966.SH,早艸態魅,20170710,20.54,
601966.SH,早艸態魅,20170711,20.3,
601966.SH,早艸態魅,20170712,20.12,
601966.SH,早艸態魅,20170713,20.06,
601966.SH,早艸態魅,20170714,20.11,
601966.SH,早艸態魅,20170717,18.64,
601966.SH,早艸態魅,20170718,18.9,
601966.SH,早艸態魅,20170719,19.18,
601966.SH,早艸態魅,20170720,19.17,
601966.SH,早艸態魅,20170721,19.18,
601966.SH,早艸態魅,20170724,19.46,
601966.SH,早艸態魅,20170725,19.27,
601966.SH,早艸態魅,20170726,19.19,
601966.SH,早艸態魅,20170727,19.6,
601966.SH,早艸態魅,20170728,19.53,
601966.SH,早艸態魅,20170731,19.51,
601966.SH,早艸態魅,20170801,19.37,
601966.SH,早艸態魅,20170802,18.92,
601966.SH,早艸態魅,20170803,19,
601966.SH,早艸態魅,20170804,19.69,
601966.SH,早艸態魅,20170807,20.41,
601966.SH,早艸態魅,20170808,20.34,
601966.SH,早艸態魅,20170809,20.1,
601966.SH,早艸態魅,20170810,20.17,
601966.SH,早艸態魅,20170811,19.57,
601966.SH,早艸態魅,20170814,19.75,
601966.SH,早艸態魅,20170815,19.94,
601966.SH,早艸態魅,20170816,20.36,
601966.SH,早艸態魅,20170817,20.27,
601966.SH,早艸態魅,20170818,20.03,
601966.SH,早艸態魅,20170821,20.2,
601966.SH,早艸態魅,20170822,19.92,
601966.SH,早艸態魅,20170823,19.87,
601966.SH,早艸態魅,20170824,19.37,
601966.SH,早艸態魅,20170825,19.62,
601966.SH,早艸態魅,20170828,19.95,
601966.SH,早艸態魅,20170829,19.95,
601966.SH,早艸態魅,20170830,19.95,
601966.SH,早艸態魅,20170831,19.95,
601966.SH,早艸態魅,20170901,20.16,
601966.SH,早艸態魅,20170904,19.94,
601966.SH,早艸態魅,20170905,20.32,
601966.SH,早艸態魅,20170906,20.37,
601966.SH,早艸態魅,20170907,20.08,
601966.SH,早艸態魅,20170908,20.18,
601966.SH,早艸態魅,20170911,20.46,
601966.SH,早艸態魅,20170912,20.19,
601966.SH,早艸態魅,20170913,20.11,
601966.SH,早艸態魅,20170914,20.02,
601966.SH,早艸態魅,20170915,19.82,
601966.SH,早艸態魅,20170918,19.96,
601966.SH,早艸態魅,20170919,19.79,
601966.SH,早艸態魅,20170920,19.72,
601966.SH,早艸態魅,20170921,19.52,
601966.SH,早艸態魅,20170922,19.33,
601966.SH,早艸態魅,20170925,19.07,
601966.SH,早艸態魅,20170926,19.19,
601966.SH,早艸態魅,20170927,19.33,
601966.SH,早艸態魅,20170928,19.89,
601966.SH,早艸態魅,20170929,19.9,
601966.SH,早艸態魅,20171009,19.81,
601966.SH,早艸態魅,20171010,19.99,
601966.SH,早艸態魅,20171011,19.86,
601966.SH,早艸態魅,20171012,19.55,
601966.SH,早艸態魅,20171013,19.64,
601966.SH,早艸態魅,20171016,19.26,
601966.SH,早艸態魅,20171017,19.19,
601966.SH,早艸態魅,20171018,19.1,
601966.SH,早艸態魅,20171019,18.85,
601966.SH,早艸態魅,20171020,19.04,
601966.SH,早艸態魅,20171023,19.02,
601966.SH,早艸態魅,20171024,18.86,
601966.SH,早艸態魅,20171025,19.11,
601966.SH,早艸態魅,20171026,19.14,
601966.SH,早艸態魅,20171027,19.24,
601966.SH,早艸態魅,20171030,18.65,
601966.SH,早艸態魅,20171031,19.39,
601966.SH,早艸態魅,20171101,19.33,
601966.SH,早艸態魅,20171102,18.94,
601966.SH,早艸態魅,20171103,18.56,
601966.SH,早艸態魅,20171106,18.51,
601966.SH,早艸態魅,20171107,18.64,
601966.SH,早艸態魅,20171108,18.67,
601966.SH,早艸態魅,20171109,18.55,
601966.SH,早艸態魅,20171110,18.51,
601966.SH,早艸態魅,20171113,18.88,
601966.SH,早艸態魅,20171114,18.37,
601966.SH,早艸態魅,20171115,18.12,
601966.SH,早艸態魅,20171116,18.02,
601966.SH,早艸態魅,20171117,17.45,
601966.SH,早艸態魅,20171120,17.4,
601966.SH,早艸態魅,20171121,17.59,
601966.SH,早艸態魅,20171122,17.79,
601966.SH,早艸態魅,20171123,17.22,
601966.SH,早艸態魅,20171124,17.29,
601966.SH,早艸態魅,20171127,17.14,
601966.SH,早艸態魅,20171128,17.27,
601966.SH,早艸態魅,20171129,17.14,
601966.SH,早艸態魅,20171130,17.12,
601966.SH,早艸態魅,20171201,17.21,
601966.SH,早艸態魅,20171204,17.17,
601966.SH,早艸態魅,20171205,16.57,
601966.SH,早艸態魅,20171206,16.34,
601966.SH,早艸態魅,20171207,16.21,
601966.SH,早艸態魅,20171208,16.4,
601966.SH,早艸態魅,20171211,16.57,
601966.SH,早艸態魅,20171212,16.37,
601966.SH,早艸態魅,20171213,16.5,
601966.SH,早艸態魅,20171214,16.68,
601966.SH,早艸態魅,20171215,16.6,
601966.SH,早艸態魅,20171218,16.6,
601966.SH,早艸態魅,20171219,16.6,
601966.SH,早艸態魅,20171220,16.88,
601966.SH,早艸態魅,20171221,17.07,
601966.SH,早艸態魅,20171222,17.19,
601966.SH,早艸態魅,20171225,16.86,
601966.SH,早艸態魅,20171226,17.24,
601966.SH,早艸態魅,20171227,17.35,
601966.SH,早艸態魅,20171228,17.22,
601966.SH,早艸態魅,20171229,17.46,
601966.SH,早艸態魅,20180102,17.98,
601966.SH,早艸態魅,20180103,18.03,
601966.SH,早艸態魅,20180104,18.15,
601966.SH,早艸態魅,20180105,18.3,
601966.SH,早艸態魅,20180108,18.23,
601966.SH,早艸態魅,20180109,17.95,
601966.SH,早艸態魅,20180110,18.22,
601966.SH,早艸態魅,20180111,18.01,
601966.SH,早艸態魅,20180112,17.86,
601966.SH,早艸態魅,20180115,18,
601966.SH,早艸態魅,20180116,18,
601966.SH,早艸態魅,20180117,18.36,
601966.SH,早艸態魅,20180118,18.16,
601966.SH,早艸態魅,20180119,18.01,
601966.SH,早艸態魅,20180122,17.96,
601966.SH,早艸態魅,20180123,17.99,
601966.SH,早艸態魅,20180124,17.97,
601966.SH,早艸態魅,20180125,17.88,
601966.SH,早艸態魅,20180126,18.2,
601966.SH,早艸態魅,20180129,18.1,
601966.SH,早艸態魅,20180130,18.02,
601966.SH,早艸態魅,20180131,17.49,
601966.SH,早艸態魅,20180201,17.15,
601966.SH,早艸態魅,20180202,17.51,
601966.SH,早艸態魅,20180205,17.14,
601966.SH,早艸態魅,20180206,16.8,
601966.SH,早艸態魅,20180207,16.94,
601966.SH,早艸態魅,20180208,17.32,
601966.SH,早艸態魅,20180209,17.13,
601966.SH,早艸態魅,20180212,18.13,
601966.SH,早艸態魅,20180213,18.14,
601966.SH,早艸態魅,20180214,18.06,
601966.SH,早艸態魅,20180222,19.01,
601966.SH,早艸態魅,20180223,18.98,
601966.SH,早艸態魅,20180226,19.2,
601966.SH,早艸態魅,20180227,19.05,
601966.SH,早艸態魅,20180228,18.99,
601966.SH,早艸態魅,20180301,18.79,
601966.SH,早艸態魅,20180302,18.69,
601966.SH,早艸態魅,20180305,19.42,
601966.SH,早艸態魅,20180306,19.28,
601966.SH,早艸態魅,20180307,18.82,
601966.SH,早艸態魅,20180308,18.91,
601966.SH,早艸態魅,20180309,18.99,
601966.SH,早艸態魅,20180312,19.42,
601966.SH,早艸態魅,20180313,19.19,
601966.SH,早艸態魅,20180314,19.09,
601966.SH,早艸態魅,20180315,19.06,
601966.SH,早艸態魅,20180316,18.88,
601966.SH,早艸態魅,20180319,18.61,
601966.SH,早艸態魅,20180320,18.19,
601966.SH,早艸態魅,20180321,18.19,
601966.SH,早艸態魅,20180322,18.24,
601966.SH,早艸態魅,20180323,17.3,
601966.SH,早艸態魅,20180326,17.28,
