ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
603003.SH,БъУоИјУН,20130509,8.3073,
603003.SH,БъУоИјУН,20130510,8.8632,
603003.SH,БъУоИјУН,20130513,8.7242,
603003.SH,БъУоИјУН,20130514,8.486,
603003.SH,БъУоИјУН,20130515,8.5952,
603003.SH,БъУоИјУН,20130516,8.7242,
603003.SH,БъУоИјУН,20130517,8.8036,
603003.SH,БъУоИјУН,20130520,8.9326,
603003.SH,БъУоИјУН,20130521,9.2403,
603003.SH,БъУоИјУН,20130522,9.0517,
603003.SH,БъУоИјУН,20130523,8.8334,
603003.SH,БъУоИјУН,20130524,9.0517,
603003.SH,БъУоИјУН,20130527,9.022,
603003.SH,БъУоИјУН,20130528,9.0617,
603003.SH,БъУоИјУН,20130529,9.151,
603003.SH,БъУоИјУН,20130530,9.2602,
603003.SH,БъУоИјУН,20130531,9.0617,
603003.SH,БъУоИјУН,20130603,9.0319,
603003.SH,БъУоИјУН,20130604,8.8731,
603003.SH,БъУоИјУН,20130605,8.8532,
603003.SH,БъУоИјУН,20130606,8.4364,
603003.SH,БъУоИјУН,20130607,8.2478,
603003.SH,БъУоИјУН,20130613,7.9699,
603003.SH,БъУоИјУН,20130614,8.089,
603003.SH,БъУоИјУН,20130617,8.1585,
603003.SH,БъУоИјУН,20130618,8.1783,
603003.SH,БъУоИјУН,20130619,8.089,
603003.SH,БъУоИјУН,20130620,8.1386,
603003.SH,БъУоИјУН,20130621,8.1783,
603003.SH,БъУоИјУН,20130624,7.4935,
603003.SH,БъУоИјУН,20130625,7.2454,
603003.SH,БъУоИјУН,20130626,7.1858,
603003.SH,БъУоИјУН,20130627,7.1163,
603003.SH,БъУоИјУН,20130628,6.9278,
603003.SH,БъУоИјУН,20130701,7.0766,
603003.SH,БъУоИјУН,20130702,7.1461,
603003.SH,БъУоИјУН,20130703,7.0866,
603003.SH,БъУоИјУН,20130704,7.2156,
603003.SH,БъУоИјУН,20130705,7.424,
603003.SH,БъУоИјУН,20130708,7.5133,
603003.SH,БъУоИјУН,20130709,7.2354,
603003.SH,БъУоИјУН,20130710,7.3744,
603003.SH,БъУоИјУН,20130711,7.5729,
603003.SH,БъУоИјУН,20130712,7.3645,
603003.SH,БъУоИјУН,20130715,7.4439,
603003.SH,БъУоИјУН,20130716,7.6424,
603003.SH,БъУоИјУН,20130717,7.7515,
603003.SH,БъУоИјУН,20130718,7.7715,
603003.SH,БъУоИјУН,20130719,7.4918,
603003.SH,БъУоИјУН,20130722,7.4519,
603003.SH,БъУоИјУН,20130723,7.5518,
603003.SH,БъУоИјУН,20130724,7.7116,
603003.SH,БъУоИјУН,20130725,7.8614,
603003.SH,БъУоИјУН,20130726,7.6816,
603003.SH,БъУоИјУН,20130729,7.6017,
603003.SH,БъУоИјУН,20130730,7.7016,
603003.SH,БъУоИјУН,20130731,8.281,
603003.SH,БъУоИјУН,20130801,8.5307,
603003.SH,БъУоИјУН,20130802,8.3209,
603003.SH,БъУоИјУН,20130805,8.3808,
603003.SH,БъУоИјУН,20130806,8.3609,
603003.SH,БъУоИјУН,20130807,8.1211,
