股票代码,股票简称
002872.SZ,天圣制药
000063.SZ,中兴通讯
603605.SH,珀莱雅
300655.SZ,晶瑞股份
600036.SH,招商银行
601100.SH,恒立液压
300631.SZ,久吾高科
603877.SH,太平鸟
603903.SH,中持股份
300550.SZ,和仁科技
603726.SH,朗迪集团
603580.SH,艾艾精工
002151.SZ,北斗星通
603080.SH,新疆火炬
002801.SZ,微光股份
300488.SZ,恒锋工具
300514.SZ,友讯达
300451.SZ,创业软件
300485.SZ,赛升药业
600521.SH,华海药业
300069.SZ,金利华电
300608.SZ,思特奇
002717.SZ,岭南股份
300212.SZ,易华录
600887.SH,伊利股份
603809.SH,豪能股份
603416.SH,信捷电气
002922.SZ,伊戈尔
300496.SZ,中科创达
603882.SH,金域医学
002007.SZ,华兰生物
002908.SZ,德生科技
300532.SZ,今天国际
600201.SH,生物股份
300535.SZ,达威股份
600764.SH,中国海防
002890.SZ,弘宇股份
603076.SH,乐惠国际
603722.SH,阿科力
002356.SZ,赫美集团
002847.SZ,盐津铺子
603707.SH,健友股份
300560.SZ,中富通
603908.SH,牧高笛
603329.SH,上海雅仕
603909.SH,合诚股份
300588.SZ,熙菱信息
603898.SH,好莱客
603899.SH,晨光文具
300726.SZ,宏达电子
300633.SZ,开立医疗
002869.SZ,金溢科技
300693.SZ,盛弘股份
002268.SZ,卫士通
603685.SH,晨丰科技
002738.SZ,中矿资源
002393.SZ,力生制药
300721.SZ,怡达股份
603319.SH,湘油泵
603507.SH,振江股份
300509.SZ,新美星
002719.SZ,麦趣尔
002829.SZ,星网宇达
600699.SH,均胜电子
300130.SZ,新国都
002886.SZ,沃特股份
000826.SZ,启迪桑德
300457.SZ,赢合科技
603018.SH,中设集团
603585.SH,苏利股份
603103.SH,横店影视
002035.SZ,华帝股份
300680.SZ,隆盛科技
603305.SH,旭升股份
300636.SZ,同和药业
000150.SZ,宜华健康
002313.SZ,日海通讯
300663.SZ,科蓝软件
603226.SH,菲林格尔
603811.SH,诚意药业
603960.SH,克来机电
002365.SZ,永安药业
002870.SZ,香山股份
002320.SZ,海峡股份
300720.SZ,海川智能
000999.SZ,华润三九
300510.SZ,金冠电气
300711.SZ,广哈通信
603258.SH,电魂网络
603085.SH,天成自控
002819.SZ,东方中科
300492.SZ,山鼎设计
000895.SZ,双汇发展
300188.SZ,美亚柏科
600161.SH,天坛生物
002861.SZ,瀛通通讯
002900.SZ,哈三联
300373.SZ,扬杰科技
600498.SH,烽火通信
300429.SZ,强力新材
300527.SZ,华舟应急
601628.SH,中国人寿
603738.SH,泰晶科技
002359.SZ,北讯集团
002485.SZ,希努尔
600661.SH,新南洋
002862.SZ,实丰文化
002044.SZ,美年健康
002881.SZ,美格智能
600867.SH,通化东宝
002281.SZ,光迅科技
002664.SZ,长鹰信质
002727.SZ,一心堂
300729.SZ,乐歌股份
600893.SH,航发动力
002917.SZ,金奥博
603005.SH,晶方科技
002411.SZ,必康股份
002853.SZ,皮阿诺
300203.SZ,聚光科技
603345.SH,安井食品
603499.SH,翔港科技
603269.SH,海鸥股份
603813.SH,原尚股份
002911.SZ,佛燃股份
002335.SZ,科华恒盛
002192.SZ,融捷股份
002809.SZ,红墙股份
002236.SZ,大华股份
002813.SZ,路畅科技
002713.SZ,东易日盛
300682.SZ,朗新科技
600660.SH,福耀玻璃
600053.SH,九鼎投资
002768.SZ,国恩股份
002792.SZ,通宇通讯
002818.SZ,富森美
300436.SZ,广生堂
603900.SH,莱绅通灵
603199.SH,九华旅游
000998.SZ,隆平高科
600182.SH,S佳通
300708.SZ,聚灿光电
002856.SZ,美芝股份
603133.SH,碳元科技
603081.SH,大丰实业
002427.SZ,ST尤夫
600741.SH,华域汽车
002817.SZ,黄山胶囊
300703.SZ,创源文化
600549.SH,厦门钨业
601877.SH,正泰电器
603656.SH,泰禾光电
300223.SZ,北京君正
300327.SZ,中颖电子
300505.SZ,川金诺
300009.SZ,安科生物
600703.SH,三安光电
300487.SZ,蓝晓科技
603336.SH,宏辉果蔬
600516.SH,方大炭素
603268.SH,松发股份
000732.SZ,泰禾集团
300418.SZ,昆仑万维
600167.SH,联美控股
300507.SZ,苏奥传感
600745.SH,闻泰科技
603088.SH,宁波精达
300658.SZ,延江股份
300556.SZ,丝路视觉
002180.SZ,纳思达
300073.SZ,当升科技
603283.SH,赛腾股份
300431.SZ,暴风集团
002734.SZ,利民股份
600482.SH,中国动力
300605.SZ,恒锋信息
600559.SH,老白干酒
000681.SZ,视觉中国
300462.SZ,华铭智能
600062.SH,华润双鹤
300433.SZ,蓝思科技
600345.SH,长江通信
600845.SH,宝信软件
002190.SZ,成飞集成
600750.SH,江中药业
002889.SZ,东方嘉盛
002341.SZ,新纶科技
300472.SZ,新元科技
002025.SZ,航天电器
002732.SZ,燕塘乳业
002828.SZ,贝肯能源
300698.SZ,万马科技
002597.SZ,金禾实业
002755.SZ,东方新星
600872.SH,中炬高新
002475.SZ,立讯精密
300566.SZ,激智科技
603037.SH,凯众股份
000786.SZ,北新建材
002410.SZ,广联达
002468.SZ,申通快递
002875.SZ,安奈儿
601607.SH,上海医药
002439.SZ,启明星辰
002800.SZ,天顺股份
603365.SH,水星家纺
002625.SZ,光启技术
300463.SZ,迈克生物
603678.SH,火炬电子
300125.SZ,易世达
300606.SZ,金太阳
000048.SZ,康达尔
300733.SZ,西菱动力
000915.SZ,山大华特
002691.SZ,冀凯股份
300563.SZ,神宇股份
603042.SH,华脉科技
002668.SZ,奥马电器
300615.SZ,欣天科技
300652.SZ,雷迪克
002796.SZ,世嘉科技
300346.SZ,南大光电
300424.SZ,航新科技
300384.SZ,三联虹普
603286.SH,日盈电子
603225.SH,新凤鸣
002888.SZ,惠威科技
002311.SZ,海大集团
600697.SH,欧亚集团
002893.SZ,华通热力
600848.SH,上海临港
600146.SH,商赢环球
002790.SZ,瑞尔特
300042.SZ,朗科科技
300309.SZ,吉艾科技
600262.SH,北方股份
603367.SH,辰欣药业
300180.SZ,华峰超纤
300569.SZ,天能重工
603555.SH,贵人鸟
002223.SZ,鱼跃医疗
000989.SZ,九芝堂
603686.SH,龙马环卫
002153.SZ,石基信息
603139.SH,康惠制药
000567.SZ,海德股份
600520.SH,文一科技
600056.SH,中国医药
603266.SH,天龙股份
300408.SZ,三环集团
603161.SH,科华控股
603186.SH,华正新材
002802.SZ,洪汇新材
603721.SH,中广天择
300541.SZ,先进数通
300590.SZ,移为通信
300665.SZ,飞鹿股份
002849.SZ,威星智能
600066.SH,宇通客车
300416.SZ,苏试试验
002462.SZ,嘉事堂
603926.SH,铁流股份
300543.SZ,朗科智能
300686.SZ,智动力
600518.SH,康美药业
000799.SZ,酒鬼酒
300438.SZ,鹏辉能源
603010.SH,万盛股份
603922.SH,金鸿顺
000504.SZ,南华生物
603912.SH,佳力图
002679.SZ,福建金森
300716.SZ,国立科技
300640.SZ,德艺文创
002543.SZ,万和电气
002825.SZ,纳尔股份
300143.SZ,星普医科
300244.SZ,迪安诊断
000004.SZ,国农科技
600138.SH,中青旅
002820.SZ,桂发祥
300552.SZ,万集科技
603527.SH,众源新材
300296.SZ,利亚德
300298.SZ,三诺生物
603306.SH,华懋科技
603626.SH,科森科技
603929.SH,亚翔集成
002746.SZ,仙坛股份
002324.SZ,普利特
600562.SH,国睿科技
603313.SH,梦百合
300288.SZ,朗玛信息
300669.SZ,沪宁股份
603991.SH,至正股份
603356.SH,华菱精工
601116.SH,三江购物
000581.SZ,威孚高科
603630.SH,拉芳家化
002530.SZ,金财互联
300511.SZ,雪榕生物
000411.SZ,英特集团
603976.SH,正川股份
002409.SZ,雅克科技
600976.SH,健民集团
603917.SH,合力科技
002405.SZ,四维图新
603880.SH,南卫股份
300398.SZ,飞凯材料
002899.SZ,英派斯
